"place_id","place_name","neighborhood","tags","reservation_url","image_url","budget","description","maps_url","cocktail","dive","jazz","wine","rooftop","speakeasy","beer","pub","lat","lng"
"ChIJUw68EZJZwokRJ15RD_T4OTw","Dante NYC","greenwich-village","Cocktail Bar, Top 50,","https://resy.com/cities/new-york-ny/venues/dante?date=2024-07-22&seats=2","https://image.resy.com/3/003/2/1290/55a4305a8285d9b7c8204ffec5319734394976b7/jpg/1600x1600","$$$","Legendary circa-1915 cafe serving small plates & cocktails in an updated historic setting.","https://maps.app.goo.gl/N2RvvxrqUr3w59Ho6",1,0,0,0,0,0,0,0,40.7288417,-74.0016444
"ChIJubHjIlVZwokRaiUpZRO1rgE","Dante West Village","west-village","Cocktail Bar,","https://resy.com/cities/new-york-ny/venues/dante-west-village?date=2024-09-24&seats=2","https://images.squarespace-cdn.com/content/v1/525bfcb9e4b00f431dc98ca3/1702652187010-NLX0F5I6KMK42X8IAN8P/dante-westvillage-feb-20236343.jpg?format=1000w","$$$","Celebrated, stylish seafood & grill restaurant offshoot with an aperitivo bar & a terrace.",NA,1,0,0,0,0,0,0,0,40.7352026,-74.0062505
"ChIJW_WGT2BZwokRNpvZ4k3lVcs","Maison Premiere","williamsburg","Cocktail Bar, Top 100,","https://resy.com/cities/new-york-ny/venues/maison-premiere?date=2024-07-22&seats=2","https://i.pinimg.com/736x/e1/41/b9/e141b924de3986262d7e97fecbe07bdd.jpg","$$$","Oysters, cocktails & small plates in a New Orleans-styled setting with an atmospheric garden.","https://maps.app.goo.gl/ESxdnb6vqkQfWZRv9",1,0,0,0,0,0,0,0,40.7142687,-73.9616646
"ChIJI25hF09ZwokRnmmiXXONRf4","Double Chicken Please","lower-east-side","Cocktail Bar, Top 50, Speakeasy Bar,","https://resy.com/cities/new-york-ny/venues/double-chicken-please?date=2024-09-17&seats=2","https://media.cntraveler.com/photos/64d24e465820e6923e230917/16:9/w_2560%2Cc_limit/Best%2520Bars%2520NYC_DCP%2520BACK%2520ROOM%2520001_Photograph%2520courtesy%2520of%2520Emmanuel%2520Rosario.jpg","$$","Trendy, snug cocktail bar serving finger foods, chicken sandwiches & creative drinks.",NA,1,0,0,0,0,1,0,0,40.719592,-73.9904612
"ChIJ_8dmJ0lbwokRIJHQFfXiMNo","Overstory","fidi","Cocktail Bar, Top 50, Rooftop Bar,","https://resy.com/cities/new-york-ny/venues/overstory?date=2024-09-17&seats=2","https://www.liquor.com/thmb/wLdN2y6-FYfOr1UqbGUFmQ6wD9Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/overstory-interior_main_720x720-833275884f654fb299ab7573156bf2f0.jpg","$$$","Creative cocktails, wine & snacks in a retro-chic bar with a 64th-floor deck for panoramic views.",NA,1,0,0,0,1,0,0,0,40.7065047,-74.0077715
"ChIJp7-d8P9ZwokRtQtbCsCOCBA","Katana Kitten","west-village","Cocktail bar, Top 50, Dive Bar,","https://resy.com/cities/new-york-ny/venues/katana-kitten?date=2024-09-17&seats=4","https://images.squarespace-cdn.com/content/v1/5b32a38bb105984062e4bf05/1663613088422-QML71PYRFP6MZYR2T38Z/KatanaKitten-Interior-JohnShyloski-20220818-0694-C1-Edit.jpg","$$","Cool, bi-level bar serving izakaya fare & traditional American bites, plus whimsical cocktails.",NA,1,1,0,0,0,0,0,0,40.7342547,-74.0064852
"ChIJ_xzMHNtZwokRdVig2X11Rvk","Martiny’s","gramercy-park","Cocktail Bar, Top 100,","https://resy.com/cities/new-york-ny/venues/martinys?date=2024-09-17&seats=2","https://www.liquor.com/thmb/D3-u2OJANxprxpgPZ7toyEKXhWY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/martinys-inline_takuma_720x480-cc87cb53b268433389974121f5047786.jpg","$$","Stylish destination with exposed-brick walls dispensing fancy mixed drinks & refined light bites.",NA,1,0,0,0,0,0,0,0,40.7361399,-73.9877486
"ChIJDbQMBIdZwokRVS4L8B8V5SA","Attaboy","lower-east-side","Cocktail Bar, Top 100, Speakeasy Bar,","Walk in Only","https://www.hiddenlibations.com/wp-content/uploads/Attaboy-NYC_3.jpg","$$$","Innovative, creative cocktails & classic concoctions mixed up in a trendy industrial-style space.",NA,1,0,0,0,0,1,0,0,40.718882,-73.99138
"ChIJLztrVJNZwokRTmcQJheGNR4","Employees Only","west-village","Cocktail Bar, Top 100, Speakeasy Bar,","https://resy.com/cities/new-york-ny/venues/employees-only-nyc?date=2024-09-17&seats=2&query=katana%20kitten","https://www.meltingbutter.com/wp-content/uploads/2014/06/374.Blog_NYC-Cocktail-Bar-Find-Employees-Only1.png","$$","Inventive drinks are poured at this retro-looking, Prohibition-style bar.",NA,1,0,0,0,0,1,0,0,40.7334346,-74.0061109
"ChIJvz7ih4RZwokR2T3AC5NtWrY","Bar Blondeau","williamsburg","Cocktail Bar, Rooftop Bar,","https://resy.com/cities/new-york-ny/venues/barblondeau?date=2024-09-17&seats=2&query=katana%20kitten","https://robbreport.com/wp-content/uploads/2021/08/BarBlondeau_0721_LizClayman_HERO.jpg?w=1000","$$","Stylish French-inspired cocktail spot with a seafood-focused menu & sweeping views of Manhattan.",NA,1,0,0,0,1,0,0,0,40.7220268,-73.9580535
"ChIJ2bBcq8xZwokRyWT9KRemktk","Lobby Bar at The Hotel Chelsea","chelsea","Cocktail Bar, Speakeasy Bar,","Walk in Only","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F9cc8405e-62c5-4d3b-b1a1-33d9c9af3a29.jpg?source=next-article&fit=scale-down&quality=highest&width=700&dpr=1","$$$",NA,NA,1,0,0,0,0,1,0,0,40.7443788,-73.9969043
"ChIJ0RgRK6tZwokRCLFUDGW-JqI","St. Cloud Rooftop","midtown","Rooftop Bar, Cocktail Bar,","https://resy.com/cities/new-york-ny/venues/st-cloud-rooftop-bar?date=2024-09-17&seats=2&query=hotel%20chelsea&activeView=list","https://images.otstatic.com/prod/23764711/1/huge.jpg","$$","Rooftop bar & lounge offering cocktails, craft beer & global tapas in a glamorous, scenic setting.",NA,1,0,0,0,1,0,0,0,40.7554473,-73.986184
"ChIJ1fm1DYtZwokRXBf8UVZVATk","Club Room at Soho Grand","soho","Cocktail Bar, Lounge,","https://resy.com/cities/new-york-ny/venues/club-room-at-soho-grand-hotel?date=2024-09-17&seats=2","https://djmzubtjl6upi.cloudfront.net/wp-content/uploads/sites/2/2017/11/07154230/salon2.jpg","$$","Living-roomlike restaurant/bar in the Soho Grand, open to guests during the day, public at dinner.",NA,1,0,0,0,0,0,0,0,40.7221457,-74.0046268
