"place_id","place_name","neighborhood","cuisine","setting","reservation_url","image_url","budget","description","maps_url"
"ChIJ9ev4B-FbwokRhzTqc9KP5-I","Shalom Japan","williamsburg","Fusion","Sit-down","https://resy.com/cities/new-york-ny/venues/shalom-japan?seats=2&date=2024-07-15","https://image.resy.com/3/003/2/69657/f60538761589f806f089cf82d45e0ac8aa1a7064/jpg/1600x1600","$$","Traditional flavors from two distinct cultures, Jewish and Japanese, intersect in Williamsburg. With joyful service and a beautiful ambiance, this spot is underhyped and worth every visit.","https://maps.app.goo.gl/sSMA7mt9Dm5jeM4z7"
"ChIJCfLy3phZwokRYh582zJlIiA","The Nines","NoHo","American","Sit-down","https://resy.com/cities/new-york-ny/venues/thenines?seats=2&date=2024-07-17","https://image.resy.com/3/003/2/7490/067b95cf0a9955859e69fa45e314039c7203f173/jpg/1600x1600","$$$","Romantic, old-school piano lounge with a dress code, plus cocktails & fancy bites like caviar.","https://maps.app.goo.gl/AAyvnNND388uGTHA9"
"ChIJWVj6oIhZwokR-D2XV_jFGwU","Rin Tin Tin","SoHo","Mediterranean","Sit-down","https://www.opentable.com/r/rintintin","https://res.cloudinary.com/the-infatuation/image/upload/q_auto,f_auto/cms/reviews/rintintin/banners/1523026269.45","$$","The eclectic menu has a Mediterranean slant at this small, airy bistro with booths & a bar.","https://maps.app.goo.gl/DCcb2pN8jHu8Vh1n9"
"ChIJtQTimnNbwokROjOc_Cfzm4k","Winonas","BedStuy","American","Sit-down","https://resy.com/cities/new-york-ny/venues/winonas?date=2024-07-17&seats=2","https://image.resy.com/3/003/2/42650/ffde61b57aa9101dce47c66575a672c89a74201a/jpg/1600x1600","$$","Seasonal dishes served in a hip, modern restaurant & wine bar that has a covered terrace.","https://maps.app.goo.gl/H2vDai9pSpama4cL7"
"ChIJ3zw7TmFbwokRH-_lOZlKATI","Lalou","Prospect Heights","American","Sit-down","https://resy.com/cities/new-york-ny/venues/lalou?date=2024-07-17&seats=2","https://res.cloudinary.com/the-infatuation/image/upload/v1656116175/cms/EmilyS_NYC_TheTenBells_BackPatio_04.jpg","$$","Natural, biodynamic & small-production wines are paired with market-driven fare in a sleek setting.","https://maps.app.goo.gl/hmeSHWDxh8yxzwbQ8"
"ChIJHzZ2mzxbwokR3LxA89MHy78","Cloverhill","Brooklyn Heights","American","Sit-down","https://www.exploretock.com/clover-hill-brooklyn/","https://tock-public.imgix.net/imagesprod/user_uploaded_images_v1/effec890-b974-40aa-a8ed-db90a0054fef.jpg?ixlib=js-3.5.1&auto=format&fit=crop&crop=focalpoint&w=1440","$$$","An intimate, 20-seat restaurant by its three partners Clay Castillo, Gabriel Merino and Executive Chef Charlie Mitchell.","https://maps.app.goo.gl/KPKfxGCNPUTsX2JQA"
"ChIJWd7fRdZZwokRhru5tn4KsVM","Torrisi","NoLiTa","Italian","Sit-down","https://resy.com/cities/new-york-ny/venues/torrisi?date=2024-07-17&seats=2","https://images.getbento.com/accounts/0ad5a0dc17efb65589997db54130f0b0/media/images/92209s1.jpg?w=1200&fit=crop&auto=compress,format&h=600","$$$","The beloved destination for Italian American food from the same team behind Carbone is finally back, and while the mozzarella is still flowing, it’s not quite the same as you might remember; it’s even better.","https://maps.app.goo.gl/zu4kB82c1vDUzQvs9"
"ChIJCX8uUp9bwokRYeKrFC129zw","D'antan","Prospect Heights","Italian","Sit-down","https://www.opentable.com/r/dantan-vino-naturale-e-cucina-italiana-brooklyn?ref=1068","https://images.otstatic.com/prod/26763678/3/large.jpg","$$","Neighborhood wine bar with a romantic vibe, offering traditional Italian food & a robust wine list.","https://maps.app.goo.gl/S3P6UdTvmcipbEiz6"
"ChIJja0-KpdZwokRuOHSWneCBxE","Amelie Bistro & Wine Bar UWS","Upper West Side","American","Sit-down","https://resy.com/cities/new-york-ny/venues/amelie-upper-west-side?date=2024-07-17&seats=2","https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2022/07/25092313/39995547_691488951249762_6455995717964958312_n-e1657055510178.jpg","$$","Serene joint with a classy vibe offering small plates & full meals with matching wines.","https://maps.app.goo.gl/42DEKwXrfUMwjpen8"
"ChIJbTCMl19ZwokRUohF137p9cQ","The Four Horsemen","Williamsburg","American","Sit-down","https://resy.com/cities/new-york-ny/venues/the-four-horsemen?date=2024-07-17&seats=2","https://res.cloudinary.com/the-infatuation/image/upload/q_auto,f_auto/cms/reviews/four-horsemen/banners/1513024586.68","$$","Wine bar from James Murphy of LCD Soundsystem serving small plates in snug digs with light woodwork.","https://maps.app.goo.gl/VBvbWevgsziFDNKh8"
"ChIJxwoiopRZwokRttz8Wb0-BLU","L'Artusi","West Village","Italian","Sit-down","https://resy.com/cities/new-york-ny/venues/lartusi-ny?date=2024-07-22&seats=2","https://images.squarespace-cdn.com/content/v1/5c311ba2697a98937f5a1a98/1556772764538-ZW56ALIDSE98U39NQ3WI/IMG_6337.jpg","$$$","Italian small plates are matched by an extensive wine list at this bi-level restaurant.","https://maps.app.goo.gl/f2jGYGmqncw5csyN8"
"ChIJG0fkfuJZwokRqmAxXTpYP2I","Bad Roman","Midtown","Italian","Sit-down","https://www.opentable.com/r/bad-roman-new-york?ref=1068","https://resizer.otstatic.com/v2/photos/wide-xlarge/2/51434279.webp","$$$","Lively, colorful, and bad in the... best way.","https://maps.app.goo.gl/r4ootKmCmkxbyLBw7"
"ChIJhXlSFFVZwokRbQf-lmDUK6k","The Office of Mr. Moto","East Village","Sushi","Sit-down","https://www.exploretock.com/mrmoto/search","https://tock-public.imgix.net/imagesprod/user_uploaded_images_v1/e53007397bbbdb5017ae107c3c87d33c.jpg?ixlib=js-3.5.1&auto=format&fit=crop&crop=focalpoint&w=1440","$$$$","A speakeasy omakase that has probably popped up in you social media feed at some point in the last year or so. If you can get a reservation (and that's a big if), punch in the code and enjoy the ride. Reservations open up a month in advance.","https://maps.app.goo.gl/XaCSq7yrq7MsiPLM9"
